id;subject;body;jhi_from;jhi_to;emitted_date;read_date;due_date;status
1;Rustic bleeding-edge;green 1080p Metal;USB;CSS Granite;2020-03-14;2020-03-14;2020-03-14;READ
2;North Dakota;Directives payment bluetooth;Yen District;synthesizing;2020-03-15;2020-03-14;2020-03-15;READ
3;Strategist;solutions;asymmetric Gloves mindshare;generate 6th generation;2020-03-14;2020-03-15;2020-03-14;EMITTED
4;reintermediate Health Berkshire;AGP Table;Washington Specialist Jewelery;Berkshire auxiliary Ameliorated;2020-03-14;2020-03-14;2020-03-15;READ
5;non-volatile;navigate mobile;Home Loan Account;back up bluetooth;2020-03-15;2020-03-15;2020-03-15;READ
6;infrastructures;Lithuanian Litas Chief;customized Borders;Barbados visualize;2020-03-14;2020-03-14;2020-03-15;READ
7;Credit Card Account Arizona bottom-line;Rhode Island;Shoes ivory;GB Analyst;2020-03-15;2020-03-14;2020-03-15;READ
8;multi-byte;Grocery Incredible;Small Metal Ball matrix;Administrator;2020-03-14;2020-03-15;2020-03-14;RECEIVED
9;compress;Directives;Tennessee visualize;Product;2020-03-14;2020-03-15;2020-03-15;RECEIVED
10;Checking Account Markets;Dominican Peso;sensor;Kroon Digitized;2020-03-15;2020-03-15;2020-03-15;RECEIVED
